TimeUS,Alt,Airspeed,GroundSpeed,Roll,Pitch,ThrOut,Volt,Curr,SolarW,TurbineW,MastMM,Temp
12500000,2.762,0.000,0.000,0.113,1.084,0.000,12.628,-1.266,24.630,0.000,0.000,14.505
13000000,2.154,0.000,0.000,1.014,2.617,0.000,12.626,-1.453,26.238,0.000,0.000,15.072
13500000,1.828,0.000,0.000,-0.309,0.582,0.000,12.603,-1.435,26.106,0.000,0.000,15.180
14000000,1.832,0.000,0.000,-1.698,2.043,0.003,12.609,-1.471,25.436,0.000,0.000,15.069
14500000,1.324,0.000,0.000,-1.261,-0.377,0.003,12.613,-1.528,27.972,0.000,0.000,14.627
15000000,1.855,0.000,0.000,0.006,3.749,0.000,12.564,-1.299,24.841,0.000,0.000,14.702
15500000,1.451,0.000,0.000,0.768,2.849,0.000,12.603,-1.321,25.661,0.000,0.000,14.844
16000000,2.183,0.000,0.000,0.225,0.219,0.000,12.591,-1.524,26.706,0.000,0.000,14.550
16500000,1.596,0.000,0.000,0.628,3.306,0.000,12.599,-1.465,27.268,0.000,0.000,15.035
17000000,2.256,0.000,0.000,1.832,3.972,0.000,12.615,-1.351,24.466,0.000,0.000,15.557
17500000,2.045,0.000,0.000,-0.555,0.613,0.006,12.590,-1.352,25.556,0.000,0.000,15.193
18000000,2.246,0.000,0.000,-0.493,4.421,0.028,12.580,-1.459,26.967,0.000,0.000,15.324
18500000,2.167,0.000,0.000,0.848,1.563,0.000,12.626,-1.578,27.080,0.000,0.000,15.374
19000000,2.082,0.000,0.000,2.134,2.348,0.000,12.624,-1.331,26.075,0.000,0.000,14.442
19500000,2.328,0.000,0.000,-1.419,0.897,0.007,12.621,-1.415,25.554,0.000,0.000,15.372
20000000,3.176,11.016,13.851,-1.622,0.491,0.867,12.260,5.953,25.869,0.000,0.000,14.816
20500000,4.392,10.734,13.395,2.957,3.515,0.844,12.241,6.119,24.955,0.000,0.000,14.901
21000000,5.599,10.956,14.284,1.654,2.640,0.841,12.267,5.942,26.589,0.000,0.000,14.705
21500000,6.822,10.855,12.972,-0.612,0.755,0.851,12.257,5.990,24.994,0.000,0.000,15.322
22000000,8.172,11.037,13.381,3.981,3.583,0.838,12.239,5.856,26.423,0.000,0.000,14.958
22500000,9.810,11.124,12.679,-0.882,2.289,0.835,12.248,5.887,26.435,0.000,0.000,14.858
23000000,10.604,11.116,13.049,2.633,1.395,0.842,12.258,6.079,25.414,0.000,0.000,14.857
23500000,11.657,10.943,13.056,2.800,4.224,0.857,12.262,6.099,24.525,0.000,0.000,14.948
24000000,13.236,10.879,13.303,0.065,0.562,0.834,12.242,5.988,24.319,0.000,0.000,15.299
24500000,14.520,10.852,12.682,-0.328,2.214,0.832,12.209,5.939,26.236,0.000,0.000,15.252
25000000,16.223,10.971,12.842,-0.561,3.654,0.861,12.249,5.970,25.468,0.000,0.000,14.697
25500000,16.835,11.058,13.803,1.546,2.807,0.838,12.212,5.875,26.504,0.000,0.000,15.246
26000000,18.410,10.760,12.796,-0.321,0.089,0.842,12.248,5.964,26.536,0.000,0.000,14.800
26500000,19.444,10.754,13.620,2.923,0.913,0.856,12.203,5.948,25.587,0.000,0.000,14.676
27000000,21.474,11.540,13.706,1.256,3.337,0.858,12.241,6.042,24.444,0.000,0.000,14.669
27500000,21.348,11.124,12.957,1.630,2.658,0.833,12.257,5.885,26.849,0.000,0.000,14.810
28000000,22.731,10.804,12.162,1.386,-0.906,0.854,12.229,5.972,25.128,0.000,0.000,14.683
28500000,24.495,11.409,13.818,-0.375,2.105,0.849,12.244,5.891,26.753,0.000,0.000,14.710
29000000,25.635,10.685,12.673,0.867,3.164,0.863,12.252,5.978,26.192,0.000,0.000,14.666
29500000,26.761,10.969,14.679,-1.252,1.575,0.846,12.230,6.096,24.668,0.000,0.000,14.560
30000000,28.248,11.160,12.830,-1.469,-1.116,0.857,12.246,5.886,27.287,0.000,0.000,14.284
30500000,29.279,11.030,14.195,0.463,0.828,0.839,12.213,5.941,25.290,0.000,0.000,14.763
31000000,30.819,11.140,14.244,0.139,2.172,0.850,12.258,5.968,26.445,0.000,0.000,14.477
31500000,32.125,11.421,12.373,0.765,3.169,0.854,12.215,6.105,24.815,0.000,0.000,14.606
32000000,33.484,11.045,12.944,1.165,2.833,0.851,12.263,5.848,27.328,0.000,0.000,14.345
32500000,34.150,11.377,12.516,-2.200,1.370,0.835,12.254,5.989,26.117,0.000,0.000,14.667
33000000,35.731,11.077,13.223,-2.090,3.570,0.845,12.228,5.928,26.128,0.000,0.000,15.222
33500000,37.212,11.446,12.886,-0.552,1.057,0.848,12.214,6.022,25.610,0.000,0.000,14.840
34000000,38.304,11.124,13.157,-1.692,2.791,0.857,12.211,5.943,26.091,0.000,0.000,13.890
34500000,39.010,10.929,13.629,-1.702,1.651,0.861,12.224,6.031,25.438,0.000,0.000,14.953
35000000,40.573,10.821,13.188,1.867,1.373,0.864,12.230,5.922,25.969,0.000,0.000,14.662
35500000,41.655,10.785,13.310,0.184,-1.319,0.862,12.228,5.938,26.468,0.000,0.000,14.557
36000000,43.368,10.518,12.535,2.590,-0.310,0.853,12.231,6.019,24.995,0.000,0.000,14.987
36500000,44.367,10.812,12.240,1.155,-0.405,0.824,12.256,5.895,26.293,0.000,0.000,14.818
37000000,45.677,10.828,12.996,-0.594,1.859,0.840,12.205,5.850,26.687,0.000,0.000,14.379
37500000,46.975,11.176,12.813,2.015,1.100,0.856,12.251,5.996,25.669,0.000,0.000,14.465
38000000,48.075,11.138,12.819,2.019,1.323,0.852,12.252,5.996,26.165,0.000,0.000,15.144
38500000,49.050,10.869,14.144,-0.308,-1.618,0.851,12.168,6.125,23.361,0.000,0.000,14.852
39000000,50.608,10.740,13.143,-0.935,4.289,0.841,12.258,5.947,26.610,0.000,0.000,15.072
39500000,51.946,10.925,13.255,-2.441,4.710,0.852,12.219,5.928,27.627,0.000,0.000,15.121
40000000,53.882,10.883,13.173,0.836,1.735,0.838,12.256,5.759,26.385,0.000,0.000,14.410
40500000,54.829,10.702,12.969,2.045,3.795,0.846,12.208,6.126,24.583,0.000,0.000,14.932
41000000,56.016,11.018,13.008,0.347,1.533,0.837,12.247,6.010,25.599,0.000,0.000,14.185
41500000,56.879,10.997,14.090,2.551,2.477,0.842,12.238,5.904,26.750,0.000,0.000,14.789
42000000,58.654,10.757,13.058,1.401,1.306,0.851,12.211,6.010,25.479,0.000,0.000,14.383
42500000,59.054,11.276,13.168,0.766,-0.488,0.849,12.206,6.082,24.944,0.000,0.000,14.335
43000000,60.923,10.882,13.205,1.667,1.977,0.858,12.262,5.818,27.440,0.000,0.000,15.253
43500000,61.761,10.844,13.473,0.251,2.166,0.835,12.213,6.095,25.221,0.000,0.000,14.027
44000000,63.384,10.587,13.227,1.692,2.389,0.833,12.168,6.146,24.903,0.000,0.000,14.674
44500000,64.676,10.932,12.629,0.423,2.281,0.855,12.183,6.126,23.426,0.000,0.000,14.493
45000000,65.574,10.794,12.535,1.024,1.150,0.835,12.209,6.026,24.679,0.000,0.000,14.403
45500000,66.700,10.804,13.728,1.196,1.934,0.838,12.248,5.894,26.675,0.000,0.000,14.601
46000000,68.154,11.117,13.803,-1.771,3.494,0.871,12.214,6.039,24.527,0.000,0.000,14.693
46500000,69.433,11.228,14.448,1.309,1.462,0.839,12.260,5.990,25.026,0.000,0.000,14.415
47000000,70.130,11.617,13.257,-1.479,2.768,0.872,12.215,5.951,24.948,0.000,0.000,14.077
47500000,71.885,10.708,14.569,-0.630,0.224,0.822,12.249,5.875,26.425,0.000,0.000,14.388
48000000,73.142,11.049,13.880,0.205,0.787,0.845,12.167,5.946,26.544,0.000,0.000,14.444
48500000,74.233,10.879,13.019,1.103,1.974,0.842,12.218,5.993,26.150,0.000,0.000,14.928
49000000,75.737,10.590,12.688,-1.932,1.365,0.850,12.202,5.944,25.266,0.000,0.000,15.184
49500000,77.025,10.989,13.908,0.162,4.660,0.863,12.252,6.047,24.190,0.000,0.000,14.391
50000000,78.326,10.684,13.350,-0.539,1.947,0.838,12.219,6.043,24.849,0.000,0.000,14.657
50500000,79.217,10.779,13.923,-1.579,1.492,0.855,12.193,6.201,23.630,0.000,0.000,14.588
51000000,81.117,11.131,13.597,-2.159,3.556,0.847,12.202,5.816,26.927,0.000,0.000,14.219
51500000,81.951,11.265,13.328,-0.623,3.200,0.857,12.183,6.062,25.125,0.000,0.000,14.461
52000000,82.746,11.259,12.850,-0.031,0.584,0.855,12.216,5.969,25.573,0.000,0.000,14.084
52500000,84.434,11.172,12.679,-0.883,3.033,0.845,12.214,5.927,26.536,0.000,0.000,14.391
53000000,85.549,11.200,12.808,2.172,0.360,0.841,12.195,5.980,26.111,0.000,0.000,14.319
53500000,87.101,11.222,14.301,1.325,-0.296,0.846,12.252,5.842,26.463,0.000,0.000,14.369
54000000,87.740,10.915,13.290,1.774,4.183,0.832,12.239,6.085,25.236,0.000,0.000,14.593
54500000,89.750,10.957,12.795,1.061,2.285,0.831,12.237,5.830,26.645,0.000,0.000,14.140
55000000,91.010,10.903,12.974,1.800,4.130,0.853,12.226,6.145,23.952,0.000,0.000,14.203
55500000,92.025,11.140,13.024,-0.320,3.457,0.841,12.232,5.939,25.626,0.000,0.000,14.442
56000000,93.420,11.271,13.787,-1.559,-0.757,0.843,12.220,5.851,27.558,0.000,0.000,14.516
56500000,94.386,11.090,12.429,1.440,0.199,0.839,12.223,6.013,25.196,0.000,0.000,14.692
57000000,95.656,11.153,13.537,-2.003,1.240,0.855,12.226,5.980,25.329,0.000,0.000,14.145
57500000,97.532,10.809,13.385,-2.860,0.617,0.864,12.222,5.739,28.465,0.000,0.000,14.113
58000000,98.429,11.475,13.909,-0.195,4.070,0.835,12.177,6.030,25.044,0.000,0.000,14.461
58500000,98.925,10.906,13.311,-0.966,1.316,0.856,12.205,5.942,26.844,0.000,0.000,14.616
59000000,100.901,11.179,12.952,1.916,2.041,0.849,12.208,6.010,25.048,0.000,0.000,14.319
59500000,101.904,10.759,12.895,0.520,1.180,0.846,12.166,6.041,25.121,0.000,0.000,13.690
60000000,102.840,10.890,13.223,0.096,1.461,0.833,12.231,6.061,23.928,0.000,0.000,14.635
60500000,104.904,10.843,12.604,-1.224,-0.377,0.871,12.220,5.945,25.587,0.000,0.000,14.295
61000000,106.551,10.879,12.974,-3.564,2.798,0.852,12.228,5.849,26.299,0.000,0.000,14.088
61500000,106.915,10.896,13.013,1.013,1.747,0.836,12.199,6.212,23.612,0.000,0.000,13.900
62000000,108.098,10.991,12.815,0.167,-1.116,0.861,12.207,5.861,26.351,0.000,0.000,14.243
62500000,109.189,11.059,13.092,-0.219,2.367,0.840,12.238,5.875,27.463,0.000,0.000,13.836
63000000,110.801,10.946,14.005,1.140,1.417,0.845,12.213,5.976,25.604,0.000,0.000,14.160
63500000,112.106,10.473,12.867,-1.101,2.131,0.851,12.191,5.956,25.418,0.000,0.000,14.525
64000000,113.221,10.961,13.100,-3.011,1.490,0.845,12.210,6.047,25.208,0.000,0.000,14.460
64500000,114.405,10.797,13.035,-0.358,2.833,0.848,12.237,5.842,26.428,0.000,0.000,14.075
65000000,115.874,10.854,13.267,0.392,3.633,0.853,12.177,5.953,23.711,0.000,0.000,15.119
65500000,117.024,11.039,13.031,0.050,3.018,0.854,12.222,5.910,27.477,0.000,0.000,14.207
66000000,118.278,10.995,13.247,0.561,1.598,0.833,12.176,6.071,24.549,0.000,0.000,13.955
66500000,119.518,10.662,12.803,-0.473,0.727,0.835,12.227,5.860,26.408,0.000,0.000,14.653
67000000,120.912,10.842,14.037,1.956,1.655,0.856,12.199,6.072,24.701,0.000,0.000,14.268
67500000,122.149,10.747,13.441,0.024,-0.703,0.838,12.212,5.897,27.124,0.000,0.000,14.381
68000000,123.655,11.395,13.751,-0.080,2.584,0.848,12.181,5.968,24.739,0.000,0.000,14.100
68500000,124.689,11.038,13.532,0.900,2.350,0.857,12.219,6.050,25.125,0.000,0.000,14.612
69000000,126.096,10.939,13.093,2.187,0.636,0.874,12.210,5.839,26.865,0.000,0.000,14.701
69500000,127.242,10.962,13.775,-0.453,2.372,0.860,12.218,5.877,27.230,0.000,0.000,14.433
70000000,127.706,11.218,13.290,-0.633,1.400,0.850,12.230,5.901,25.982,0.000,0.000,13.896
70500000,129.577,11.140,13.506,-0.848,4.969,0.848,12.210,6.008,24.195,0.000,0.000,14.555
71000000,130.776,11.043,12.977,1.881,2.159,0.842,12.179,5.979,24.455,0.000,0.000,13.808
71500000,132.119,10.848,13.876,0.652,1.809,0.852,12.235,5.940,25.850,0.000,0.000,13.977
72000000,132.897,11.184,12.800,0.654,2.603,0.856,12.242,6.039,25.045,0.000,0.000,14.206
72500000,135.347,11.022,13.260,1.379,4.623,0.865,12.229,5.889,26.037,0.000,0.000,14.076
73000000,136.391,11.308,13.013,-0.338,1.386,0.826,12.249,5.767,28.147,0.000,0.000,13.949
73500000,136.878,11.528,13.152,2.438,3.366,0.842,12.236,5.873,27.290,0.000,0.000,13.504
74000000,138.248,10.858,13.235,0.786,3.118,0.849,12.201,5.981,24.551,0.000,0.000,14.351
74500000,139.192,11.315,13.738,1.266,4.595,0.847,12.237,5.933,25.956,0.000,0.000,13.847
75000000,141.073,11.129,13.616,0.279,-0.019,0.858,12.242,5.851,27.337,0.000,0.000,14.266
75500000,141.212,11.211,14.089,0.294,3.368,0.852,12.201,6.011,24.807,0.000,0.000,14.086
76000000,143.003,11.517,13.284,-1.415,1.531,0.856,12.209,6.168,23.271,0.000,0.000,13.969
76500000,144.398,11.361,13.036,0.740,0.959,0.834,12.170,5.958,25.734,0.000,0.000,13.865
77000000,145.351,11.334,12.533,-1.683,1.026,0.862,12.177,5.850,27.539,0.000,0.000,14.284
77500000,147.026,11.532,13.206,-0.550,4.276,0.855,12.199,5.977,25.120,0.000,0.000,14.523
78000000,147.562,11.178,13.229,-2.823,2.331,0.845,12.185,6.044,24.600,0.000,0.000,14.158
78500000,149.576,11.356,13.333,-1.296,3.545,0.833,12.216,5.854,26.897,0.000,0.000,14.313
79000000,150.315,10.822,12.133,0.934,2.264,0.842,12.233,5.974,25.384,0.000,0.000,14.358
79500000,151.809,11.036,13.429,-2.125,1.541,0.860,12.201,6.035,25.119,0.000,0.000,13.857
80000000,153.517,11.513,12.763,-0.648,-0.030,0.864,12.203,6.037,25.035,0.000,0.000,14.191
80500000,154.285,10.927,13.392,-0.668,1.407,0.848,12.219,6.019,25.168,0.000,0.000,13.866
81000000,156.268,11.359,13.683,-0.481,3.783,0.853,12.216,5.766,27.567,0.000,0.000,14.077
81500000,156.984,10.826,13.400,-1.122,2.929,0.857,12.240,5.988,25.478,0.000,0.000,13.267
82000000,157.616,11.123,13.358,1.685,1.631,0.854,12.226,5.855,26.815,0.000,0.000,13.630
82500000,159.142,10.683,12.382,0.330,2.021,0.836,12.197,5.944,25.579,0.000,0.000,13.614
83000000,161.029,11.081,13.825,6.022,1.496,0.848,12.220,5.798,27.580,0.000,0.000,14.223
83500000,161.712,11.232,13.353,0.299,2.455,0.859,12.217,5.916,25.983,0.000,0.000,13.411
84000000,163.178,10.644,12.894,-0.547,0.767,0.864,12.220,5.978,25.219,0.000,0.000,13.926
84500000,164.729,10.739,13.552,1.427,0.117,0.852,12.214,5.982,25.030,0.000,0.000,13.595
85000000,165.438,10.989,14.173,-0.794,3.056,0.866,12.215,6.050,25.921,0.000,0.000,13.422
85500000,166.451,10.950,13.869,0.217,0.249,0.855,12.217,6.011,25.090,0.000,0.000,13.449
86000000,168.910,10.301,12.509,1.846,1.902,0.852,12.183,6.007,24.997,0.000,0.000,13.446
86500000,168.865,10.889,13.471,-1.303,2.935,0.852,12.200,5.909,26.222,0.000,0.000,13.882
87000000,170.499,11.127,12.600,0.045,2.310,0.872,12.204,5.963,25.842,0.000,0.000,13.610
87500000,172.757,10.992,13.128,1.864,2.446,0.845,12.193,5.874,25.219,0.000,0.000,13.345
88000000,173.699,10.973,13.531,0.964,2.028,0.859,12.209,5.911,25.320,0.000,0.000,14.267
88500000,174.611,10.899,12.293,-0.642,3.623,0.839,12.164,5.966,25.242,0.000,0.000,13.201
89000000,175.426,10.737,12.388,-0.929,1.438,0.847,12.154,6.076,24.631,0.000,0.000,13.857
89500000,176.480,10.842,13.884,-0.046,3.778,0.854,12.189,5.861,26.404,0.000,0.000,13.693
90000000,178.195,10.852,12.635,-1.496,-0.309,0.847,12.249,5.839,26.487,0.000,0.000,13.895
90500000,179.431,11.222,12.009,-0.156,-0.494,0.838,12.247,5.888,26.363,0.000,0.000,14.095
91000000,180.158,10.967,12.451,1.257,4.845,0.842,12.140,5.855,26.142,0.000,0.000,13.425
91500000,181.966,11.008,12.590,-1.239,2.529,0.846,12.221,5.865,26.215,0.000,0.000,13.954
92000000,183.007,10.681,13.960,-0.735,1.815,0.857,12.222,5.938,27.159,0.000,0.000,13.702
92500000,184.782,10.851,14.146,-0.103,0.387,0.849,12.155,5.967,26.610,0.000,0.000,14.351
93000000,185.319,11.162,13.241,0.198,1.651,0.838,12.258,6.029,25.690,0.000,0.000,13.708
93500000,186.501,11.255,14.111,-0.754,3.116,0.845,12.184,6.078,24.350,0.000,0.000,13.911
94000000,188.517,10.948,12.426,0.568,2.035,0.851,12.183,6.011,25.395,0.000,0.000,13.695
94500000,189.587,11.364,12.511,-1.174,5.136,0.858,12.183,6.086,24.861,0.000,0.000,13.794
95000000,190.836,10.723,12.841,-0.749,2.930,0.851,12.172,5.963,25.882,0.000,0.000,13.420
95500000,191.693,11.333,13.469,0.117,3.784,0.874,12.169,5.994,25.782,0.000,0.000,13.998
96000000,193.025,11.588,12.735,0.168,2.019,0.848,12.216,5.885,27.300,0.000,0.000,13.798
96500000,194.424,11.231,12.965,-0.595,2.089,0.838,12.200,5.938,26.673,0.000,0.000,14.342
97000000,196.209,11.177,13.127,0.258,1.730,0.844,12.192,6.026,25.188,0.000,0.000,13.345
97500000,196.995,11.141,13.094,2.901,0.413,0.835,12.188,5.955,26.183,0.000,0.000,13.426
98000000,198.552,11.203,13.491,-0.498,2.785,0.867,12.175,6.064,24.850,0.000,0.000,14.312
98500000,199.201,11.241,12.985,0.271,0.296,0.866,12.181,5.885,25.872,0.000,0.000,13.668
99000000,201.061,10.564,13.377,-0.026,0.965,0.851,12.227,6.034,25.671,0.000,0.000,13.965
99500000,201.700,10.881,13.647,-0.486,-0.475,0.853,12.194,6.010,25.505,0.000,0.000,14.343
100000000,203.452,11.208,12.976,-1.324,2.031,0.855,12.192,6.072,25.065,0.000,0.000,13.226
100500000,204.996,11.418,13.094,-0.315,2.844,0.857,12.206,5.856,27.396,0.000,0.000,13.962
101000000,205.955,11.237,12.598,-0.205,4.704,0.843,12.204,5.853,26.921,0.000,0.000,13.382
101500000,206.196,10.637,12.663,0.578,3.795,0.830,12.161,6.075,24.205,0.000,0.000,13.609
102000000,207.941,11.456,12.614,-0.904,0.111,0.865,12.166,6.000,25.932,0.000,0.000,13.624
102500000,209.900,11.059,13.589,0.823,5.258,0.854,12.199,6.027,24.982,0.000,0.000,13.992
103000000,210.965,11.618,13.788,-2.739,5.415,0.850,12.164,5.984,25.984,0.000,0.000,13.599
103500000,211.780,11.164,12.911,2.029,2.038,0.863,12.170,5.989,24.854,0.000,0.000,14.033
104000000,213.240,10.763,12.968,1.386,1.271,0.866,12.176,5.986,25.849,0.000,0.000,13.668
104500000,214.656,10.926,13.416,-0.179,-0.689,0.861,12.204,6.065,25.675,0.000,0.000,13.932
105000000,215.455,10.895,12.474,-1.479,1.442,0.862,12.163,6.049,25.443,0.000,0.000,13.904
105500000,217.081,10.832,13.976,0.427,1.113,0.856,12.223,5.902,26.059,0.000,0.000,13.753
106000000,218.355,11.083,13.674,-0.411,1.887,0.858,12.203,6.097,24.235,0.000,0.000,13.110
106500000,219.965,10.909,12.914,-0.525,1.394,0.852,12.198,5.919,26.125,0.000,0.000,13.989
107000000,220.727,10.744,13.934,-0.873,0.599,0.861,12.188,6.045,25.527,0.000,0.000,13.448
107500000,222.103,10.789,13.453,0.241,4.280,0.858,12.189,6.049,25.568,0.000,0.000,13.117
108000000,223.134,10.840,12.589,2.166,5.543,0.850,12.202,5.833,27.006,0.000,0.000,13.088
108500000,224.413,11.151,12.121,1.877,1.880,0.837,12.177,5.812,25.966,0.000,0.000,13.474
109000000,226.155,10.429,14.048,-0.209,1.755,0.862,12.220,6.006,25.584,0.000,0.000,13.734
109500000,227.713,10.577,13.147,0.293,2.553,0.849,12.172,6.041,25.637,0.000,0.000,13.264
110000000,228.837,10.800,11.955,0.635,1.544,0.847,12.210,6.030,26.062,0.000,0.000,13.542
110500000,229.461,10.803,13.181,-2.689,2.087,0.838,12.181,5.821,26.690,0.000,0.000,13.735
111000000,230.919,10.890,12.117,0.679,2.699,0.838,12.170,5.865,25.223,0.000,0.000,13.622
111500000,231.958,11.047,12.860,-0.419,2.203,0.858,12.185,5.930,25.498,0.000,0.000,13.401
112000000,233.229,10.704,12.957,0.569,3.021,0.859,12.169,5.945,26.560,0.000,0.000,13.098
112500000,234.366,11.166,12.761,-2.703,1.940,0.851,12.173,5.895,26.679,0.000,0.000,13.374
113000000,236.257,11.008,12.455,-0.379,2.710,0.854,12.164,6.067,25.347,0.000,0.000,13.727
113500000,237.196,11.253,12.929,0.533,4.364,0.840,12.209,6.064,24.485,0.000,0.000,13.667
114000000,238.749,10.871,12.566,0.452,2.238,0.834,12.164,6.048,24.352,0.000,0.000,13.532
114500000,240.182,10.565,13.207,-0.198,1.666,0.848,12.161,6.103,24.060,0.000,0.000,13.320
115000000,240.891,10.637,12.696,2.107,4.921,0.838,12.184,5.906,26.358,0.000,0.000,13.399
115500000,242.463,10.941,12.883,0.182,4.941,0.830,12.169,5.902,25.828,0.000,0.000,13.354
116000000,243.158,11.042,14.081,1.570,2.504,0.857,12.181,6.043,25.670,0.000,0.000,13.394
116500000,244.422,11.025,12.572,2.313,2.682,0.829,12.180,5.856,27.653,0.000,0.000,12.993
117000000,245.854,11.315,14.035,1.634,3.851,0.838,12.150,5.935,26.694,0.000,0.000,13.560
117500000,246.685,10.963,14.506,1.891,1.487,0.840,12.175,6.023,24.997,0.000,0.000,13.585
118000000,248.617,11.384,13.920,0.740,-0.965,0.846,12.197,5.846,27.023,0.000,0.000,13.658
118500000,249.764,11.297,13.222,0.284,-0.088,0.853,12.206,6.170,24.619,0.000,0.000,13.268
119000000,250.647,10.819,12.860,-0.372,3.821,0.848,12.129,6.005,25.027,0.000,0.000,13.290
119500000,252.254,10.623,13.554,0.252,0.953,0.852,12.157,5.935,26.293,0.000,0.000,13.527
120000000,253.806,11.300,13.271,1.966,1.711,0.855,12.149,6.091,24.137,0.000,0.000,13.552
120500000,253.887,10.894,13.191,-0.764,0.594,0.850,12.149,5.956,26.294,0.000,0.000,13.713
121000000,255.784,11.270,14.289,-0.825,2.528,0.846,12.141,6.179,23.382,0.000,0.000,13.594
121500000,256.615,11.419,13.423,-0.069,3.737,0.845,12.157,6.084,24.415,0.000,0.000,13.359
122000000,257.908,10.788,12.933,-0.830,3.387,0.844,12.159,5.927,26.293,0.000,0.000,13.643
122500000,259.280,11.256,13.305,-2.856,4.488,0.854,12.140,6.079,24.850,0.000,0.000,12.984
123000000,260.912,11.243,13.491,-2.692,1.171,0.844,12.154,5.975,26.258,0.000,0.000,13.524
123500000,261.827,11.017,13.898,0.327,0.510,0.848,12.167,5.920,26.569,0.000,0.000,13.282
124000000,263.018,11.162,14.438,3.686,3.212,0.854,12.179,5.919,26.787,0.000,0.000,14.030
124500000,264.986,11.200,13.247,-0.630,3.991,0.848,12.138,6.021,25.576,0.000,0.000,13.367
125000000,265.925,11.159,13.336,0.137,2.798,0.834,12.158,5.992,25.078,0.000,0.000,13.504
125500000,267.345,10.968,13.502,2.506,3.531,0.845,12.144,6.040,24.722,0.000,0.000,13.074
126000000,268.102,11.216,12.802,3.563,1.753,0.842,12.189,5.915,26.764,0.000,0.000,13.457
126500000,268.997,11.061,13.192,-0.704,2.530,0.861,12.184,5.903,26.529,0.000,0.000,12.720
127000000,271.041,11.170,13.354,1.326,2.440,0.839,12.167,6.091,23.767,0.000,0.000,12.748
127500000,271.873,11.031,13.124,-0.324,0.331,0.857,12.171,6.066,24.522,0.000,0.000,13.556
128000000,273.192,10.865,13.386,0.069,0.509,0.845,12.163,5.969,26.400,0.000,0.000,13.515
128500000,274.636,10.967,12.857,-1.371,2.685,0.835,12.190,6.065,25.225,0.000,0.000,13.154
129000000,275.978,11.111,13.638,-1.466,2.671,0.871,12.161,6.010,24.889,0.000,0.000,13.281
129500000,276.961,10.817,13.176,-1.236,2.156,0.848,12.190,5.952,25.289,0.000,0.000,13.189
130000000,278.118,10.925,13.398,4.171,3.292,0.848,12.142,5.929,25.886,0.000,0.000,13.099
130500000,279.273,10.569,12.850,4.053,1.791,0.855,12.161,5.987,25.158,0.000,0.000,13.184
131000000,280.658,10.976,14.401,-0.278,0.470,0.844,12.144,6.084,25.242,0.000,0.000,13.362
